# Data for individuals that have both genotypes and trait values
# N = 140
# 
# KCF
# 04/06/21
ind_code	Pal	Ste	ol	lin	sat	unsat	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	pop_code	usda_pop	deme	block
592320-10	3.2539	0.46753	29.05824	67.22033	3.72143	96.27857	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	2
592320-11	3.60405	0.56816	35.61939	60.20839	4.17221	95.82778	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	2
592320-13	3.51323	0.54592	38.06458	57.87627	4.05915	95.94085	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	2
592320-14	3.0951	0.26922	31.56287	65.07281	3.36432	96.63568	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	2
592320-16	2.069	0.31	30.273	67.347	2.379	97.62	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	3
592320-21	2.09	0.303	32.567	65.04	2.393	97.607	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	3
592320-24	2.029	0.573	31.647	65.751	2.602	97.398	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	4
592320-28	2.188	0.522	27.721	69.569	2.71	97.29	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	4
592320-6	2.331	0.534	29.063	68.071	2.865	97.134	50.0475	-104.70722222	30	130	27	12187	268	-212	480	156	-112	179	-134	370	67	12	59	172	44	164	44	SAS1	592320	north	1
613750-10	2.638	0.287	23.524	73.551	2.925	97.075	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	2
613750-11	3.5986	1.90495	30.81746	63.67898	5.50355	94.49644	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	3
613750-13	3.055	0.389	14.892	81.665	3.444	96.557	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	3
613750-14	3.22975	1.46364	19.53281	75.7738	4.69339	95.30661	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	3
613750-18	3.64411	1.95873	18.92637	75.4708	5.60284	94.39717	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	4
613750-19	3.67542	1.19401	19.05751	76.07305	4.86943	95.13056	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	4
613750-2	3.69715	1.64877	22.49095	72.16313	5.34592	94.65408	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	1
613750-23	3.78208	2.05768	21.53383	72.62642	5.83976	94.16025	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	4
613750-26	3.24517	1.55491	30.21994	64.97998	4.80008	95.19992	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	4
613750-3	3.39484	1.76529	34.50695	60.33292	5.16013	94.83987	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	1
613750-4	3.242	0.549	16.754	79.455	3.791	96.209	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	1
613750-5	3.87099	1.5872	23.24385	71.29796	5.45819	94.54181	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	1
613750-6	3.72319	1.78381	23.36927	71.12373	5.507	94.493	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	2
613750-7	3.96064	1.76955	24.95781	69.312	5.73019	94.26981	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	2
613750-8	3.51037	1.5683	25.99801	68.92332	5.07867	94.92133	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	2
613750-9	3.98167	2.01293	23.3501	70.65529	5.9946	94.00539	46.87916667	-102.78916667	54	138	30	10816	283	-173	456	163	-89	190	-89	415	88	9	68	205	30	188	30	ND1	613750	north	2
649806-12	5.0629	1.63814	32.24443	61.05454	6.70104	93.29897	41.41777778	-104.09777778	80	158	39	8526	299	-102	401	166	-24	194	-24	439	74	12	55	201	42	168	42	WY1	649806	north	3
649806-16	4.506	0.787	26.09	68.616	5.293	94.706	41.41777778	-104.09777778	80	158	39	8526	299	-102	401	166	-24	194	-24	439	74	12	55	201	42	168	42	WY1	649806	north	4
649806-19	3.90111	1.85165	50.5945	43.65273	5.75276	94.24723	41.41777778	-104.09777778	80	158	39	8526	299	-102	401	166	-24	194	-24	439	74	12	55	201	42	168	42	WY1	649806	north	4
649806-3	4.03818	1.43731	42.11528	52.40923	5.47549	94.52451	41.41777778	-104.09777778	80	158	39	8526	299	-102	401	166	-24	194	-24	439	74	12	55	201	42	168	42	WY1	649806	north	1
649806-6	4.4362	1.81981	47.39218	46.3518	6.25601	93.74398	41.41777778	-104.09777778	80	158	39	8526	299	-102	401	166	-24	194	-24	439	74	12	55	201	42	168	42	WY1	649806	north	2
649806-7	4.06227	2.05025	44.42541	49.46207	6.11252	93.88748	41.41777778	-104.09777778	80	158	39	8526	299	-102	401	166	-24	194	-24	439	74	12	55	201	42	168	42	WY1	649806	north	2
649806-9	4.48877	1.53006	50.47965	43.50152	6.01883	93.98117	41.41777778	-104.09777778	80	158	39	8526	299	-102	401	166	-24	194	-24	439	74	12	55	201	42	168	42	WY1	649806	north	2
